Timestamp,Survey,Job Title,Gender,City,Gross Salary,Currency,Day Rate,Years of XP,Benefits,What is your employment status?
20/02/2019,FR,ECONOMIC DESIGNER,H,Paris,"40,000 €",EUR,,2,"Tickets resto (9€, 50% par l'entreprise), transport 50%, achats d'action à coûts réduits, prime à la rentabilitié, prime objectif;jeux gratuits, mutuelle",CDI
22/02/2018,FR,EDITORIAL MANAGER,H,Paris,"55,000 €",EUR,,10,"Tickets Resto, Transport 50%",CDI
18/02/2019,FR,ENGINE PROGRAMMER,H,Lyon,"30,000 €",EUR,,5,"Tickets restos, Mutuelle, 50% transports, CE, jeux gratuits",
03/03/2019,FR,ENGINE PROGRAMMER,H,Paris,"25,000 €",EUR,,1.5,"Ticket Restaurant, 50% Transport, aucune prime",CDI
18/02/2019,FR,ENGINE PROGRAMMER,H,Paris,"35,000 €",EUR,,3,Passion,CDI Cadre 37h
26/02/2019,FR,ENGINE PROGRAMMER,F,Paris,"43,000 €",EUR,,6,"Ticket Restaurant, 50% Transport",CDI - Cadre
06/08/2020,FR,ENGINE PROGRAMMER,H,Annecy,"38,000 €",EUR,,5,"jeux gratuits (groupe), intéressement",CDI
31/05/2020,FR,ENSEIGNANT GAME DEV,H,Toulouse,,EUR,420 (60/h),3,Freelance,Freelance
18/02/2019,FR,ENVIRONMENT ARTIST,H,Bordeaux,"25,000 €",EUR,,1.5,"tickets resto, RTTs,50% transports,jeux gratuits+primes",CDD
25/07/2019,FR,ENVIRONMENT ARTIST,F,Bordeaux,"25,200 €",EUR,,3,"Tickets restos, Mutuelle, 50% transports,",CDD
19/02/2019,FR,ENVIRONMENT ARTIST,H,Lyon,"24,000 €",EUR,,2.5,"Tickets Resto, 50% transport, Mutuelle (assez médiocre), no crunch obligatoire",CDI
19/02/2019,FR,ENVIRONMENT ARTIST,F,Lyon,"24,000 €",EUR,,2.5,"Transport 50%, 50% Mutuelle,50%Tickets Restaurants",CDI - 35h
18/02/2019,FR,ENVIRONMENT ARTIST,F,Paris,"21,600 €",EUR,,4,"Mutuelle, 50% transport","CDI, 39h"
18/02/2019,FR,ENVIRONMENT ARTIST,F,Paris,"27,600 €",EUR,,4.5,"Tickets restos, 50% transports,Mutuelle",CDI - Méga polyvalence
19/02/2019,FR,ENVIRONMENT ARTIST,H,Paris,"28,000 €",EUR,,4,"Tickets resto, Mutuelle, 50% transports",CDI
19/02/2019,FR,ENVIRONMENT ARTIST,H,Paris,"38,000 €",EUR,,7,"Transport 50%, Mutuelle, Ticket Resto",CDI
23/07/2020,FR,ENVIRONMENT ARTIST,F,Paris,"25,200 €",EUR,,1,"Carte resto à 8euro/jour, ludotheque, cours de langues, heure supp payé, mutuel, carte cadeau de nouvel an",CDD - 40h
19/02/2019,FR,ENVIRONMENT ARTIST / GRAPH 3D,F,Paris,"30,000 €",EUR,,4.5,"Tickets resto, RTT, 50% transport, CE, 50% Mutuelle ",CDI
18/02/2019,FR,FULLSTACK WEB DEVELOPER,H,Paris,"38,000 €",EUR,,5,,"CDI, Statut cadre, plusieurs déplacements pro sur des salons par an où je fais l'animateur."
26/02/2019,FR,FULLSTACK WEB DEVELOPER,H,Paris,"52,000 €",EUR,,12,"mutuelle, 50% transport, tickets resto, cheques vacances + cheques cadeaux à noël, 7 semaines de vacances, abondement annuel sur pee, CE, horaires libres, télétravail local ponctuel, primes d'interessement, ambiance sympa",CDI cadre journalier
11/12/2019,FR,GAME ARTIST,F,Boulogne,"37,200 €",EUR,,1,"transports 50%, carte déjeuner, CE, mutuelle, réductions, RTT, salle de sieste",CDD - Cadre
22/02/2022,FR,GAME ARTIST,F,Bordeaux,"26,500 €",EUR,,2,"tickets restau, horaires aménageables",
04/08/2020,FR,GAME DESIGNER,F,Lyon,"23,000 €",EUR,,1,"Interessement, prime vacance, mutuelle",CDI - 35h
07/04/2021,FR,GAME DESIGNER,H,Annecy,"36,700 €",EUR,,7,"Tickets resto, jeux gratuits, interessement, participation, primes projets, prime vacance, mutuelle",CDI
16/04/2019,FR,GAME DESIGNER,H,Angoulême,"25,000 €",EUR,,2,,CDI 35H
26/02/2019,FR,GAME DESIGNER,H,Bordeaux,"26,700 €",EUR,,1,,CDI 35h
08/11/2021,FR,GAME DESIGNER,H,Bordeaux,"34,000 €",EUR,,5,"Mutuelle, 50% transport, TR, jeux gratuits ",CDI 37H
18/02/2019,FR,GAME DESIGNER,H,Bordeaux,"33,000 €",EUR,,6,,
23/10/2019,FR,GAME DESIGNER,H,Hanoi (Vietnam),17 000 $,EUR,,1,"13ème mois, prime au million de téléchargement (1200$), 1 billet par en France, mutuelle",CDI - 39H
18/02/2019,FR,GAME DESIGNER,H,Lille,"21,600 €",EUR,,0.6,"Tickets resto, 50% transports, mutuelle",CDD
18/02/2019,FR,GAME DESIGNER,H,Lille,"23,000 €",EUR,,2,"Tickets restos, 50% transports, avantages CE, prime vacances, chèque Noël, prime de participation",
18/02/2019,FR,GAME DESIGNER,H,Lille,"24,000 €",EUR,,1,"Tickets restos, 50% transports, avantages CE, prime vacances, chèque Noël, prime de participation",
18/02/2019,FR,GAME DESIGNER,F,Lille,"24,000 €",EUR,,1,"Tickets restos, mutuelle, 50% transport, prime vacance, chèque noël, CE",CDI
11/06/2020,FR,GAME DESIGNER,H,Lille,"24,000 €",EUR,,2,Transport 50%,CDI - 35h
18/02/2019,FR,GAME DESIGNER,H,Lyon,"22,200 €",EUR,,<1,"Tickets resto, Mutuelle ",Salarié | CDD | 35h
18/02/2019,FR,GAME DESIGNER,H,Lyon,"25,000 €",EUR,,1,Bonne mutuelle,
03/03/2019,FR,GAME DESIGNER,H,Lyon,"27,600 €",EUR,,6,Rien de plus que ceux des obligations légales.,CDI - 35h
18/02/2019,FR,GAME DESIGNER,H,Montpellier,"29,600 €",EUR,,4,"Ambiance, Projets, Responsabilités, Events au boulot, Jeux gratuits etc.",CDI
06/08/2020,FR,GAME DESIGNER,H,Nantes,"12,000 €",EUR,,0,"Mutuelle, grande flexibilité de la présence et des horaires",CDD - 35h
03/03/2019,FR,GAME DESIGNER,H,Paris,"18,250 €",EUR,,1,Transport 50%,CDD
18/02/2019,FR,GAME DESIGNER,H,Paris,"24,000 €",EUR,,1,"Ambiance, mutuelle, bonus sur objectif, chèque noel, tarif repas",
18/02/2019,FR,GAME DESIGNER,H,Paris,"24,000 €",EUR,,1,"tickets restau (180€ par mois) payé à 50% par l'entreprise, heures supplémentaires rémunérées",
