Timestamp,Survey,Job Title,What is your employment status?,City,Gross Salary,Currency,What percentage salary increase did you receive in July 2020?,Additional Comments,What was your most recent performance rating?,Sector
7/31/2020 19:32:12,BL,Senior Designer II,Full Time Employee,Irvine,"149,000",USD,2.5,,High,AAA
7/31/2020 19:44:29,BL,Software Engineer,Full Time Employee,Irvine,"$100,900",USD,10,3 years as mid-level Engineer,High,AAA
7/31/2020 19:44:48,BL,Senior Software Engineer I,Full Time Employee,Irvine,"147,000",USD,18,,Top,AAA
7/31/2020 20:15:53,BL,Associate Manager,Full Time Employee,Irvine,"$64,958",USD,5,,High,AAA
7/31/2020 20:19:30,BL,,Full Time Employee,Irvine,,USD,,,,AAA
7/31/2020 20:31:10,BL,Lead Game Designer,Full Time Employee,Irvine,140000,USD,11,,Top,AAA
7/31/2020 20:36:34,BL,Senior 1,Full Time Employee,Irvine,110000,USD,2.5,,Successful,AAA
7/31/2020 20:42:57,BL,Senior Producer,Full Time Employee,Irvine,"110,000",USD,15,Increase includes promotion,High,AAA
7/31/2020 20:46:43,BL,Test Analyst,Full Time Employee,Irvine,$24.94/hr,USD,1.3,,Successful,AAA
7/31/2020 20:51:38,BL,Software Engineer,Full Time Employee,Irvine,108000,USD,3.2,,Successful,AAA
7/31/2020 20:54:32,BL,Associate Software Engineer in Test,Full Time Employee,Irvine,79000,USD,3.5,,Successful,AAA
7/31/2020 20:59:41,BL,Senior 1,Full Time Employee,Irvine,110000,USD,2.5,,Successful,AAA
7/31/2020 21:08:56,BL,Senior Designer I,Full Time Employee,Irvine,"100,000",USD,2,Received 10% salary adjustment due to gender pay disparity a few years ago.,,AAA
7/31/2020 21:33:15,BL,Software Engineer,Full Time Employee,Irvine,"$120,000",USD,3,,Successful,AAA
7/31/2020 21:46:09,BL,Associate Game Producer,Full Time Employee,Irvine,"68,349 or 32.86phr",USD,2,"I suffer from been an internal hire for my current position. Which means I've always been low on my pay band, in my previous job and have never seen and adjustment. I'll never break 90k at blizzard.",Successful,AAA
7/31/2020 21:47:44,BL,Senior Software Engineer II,Full Time Employee,Austin,154500,USD,3,In bottom third of range penetration,Successful,AAA
7/31/2020 22:16:01,BL,Senior Designer,Full Time Employee,Irvine,"109,038",USD,2,,Successful,AAA
7/31/2020 22:18:05,BL,Graphic Designer,Full Time Employee,Irvine,"$102,502",USD,2,"Joined October 2017 - $42.31/hr (~$88k annual)
February 2019 - $48.31/hr (~$100k annual)
July 2020 - $49.28/hr (~$102k annual)",High,AAA
7/31/2020 22:48:12,BL,Senior Producer I,Full Time Employee,Irvine,"$124,000",USD,3.5,I was told this the lower half of the pay range. ,High,AAA
7/31/2020 23:15:48,BL,Associate Software Engineer,Full Time Employee,Irvine,80k,USD,0,I started in last 6 months,Developing,AAA
7/31/2020 23:21:15,BL,Sr. Test analyst,Full Time Employee,Irvine,60000,USD,1.5,,Successful,AAA
8/1/2020 0:01:56,BL,Senior Software Engineer I,Full Time Employee,Irvine,"$147,723.03",USD,2.9,,High,AAA
8/1/2020 0:19:05,BL,Specialist Game Master,Full Time Employee,Cork,37318,EUR,2.3,3.2% last year for the same rating. Salary band moved to 38300 this year,High,AAA
8/1/2020 1:42:16,BL,community developement manager,Full Time Employee,versailles,60k,EUR,2.5,,Successful,AAA
8/1/2020 3:01:35,BL,Senior Software Engineer II,Full Time Employee,Irvine,174556,USD,3.1,,Successful,AAA
8/1/2020 3:32:13,BL,Game Master,Full Time Employee,Cork,"29388,64 eur",EUR,1.2,it comes to ~30eur/mo while just a rent is increasing 50eur/mo a year,Successful,AAA
8/1/2020 3:51:32,BL,Specialist Game Master,Full Time Employee,Cork,"€34,160.73",EUR,1,,Successful,AAA
8/1/2020 3:55:46,BL,Customer Support Representative,Full Time Employee,Cork,"34,925€",EUR,2.5,Previous increments have been ~3.3%-4.5%. The backdating gives ~same as previous years but will mean lower amounts on upcoming years. Profit sharing for CS is also pathetic.,High,AAA
8/1/2020 4:11:32,BL,Game Master,Full Time Employee,Cork,28000,EUR,1,,Successful,AAA
8/1/2020 4:25:33,BL,Specialist Game Master,Full Time Employee,Cork,"€36468,94",EUR,1,,Successful,AAA
8/1/2020 4:28:05,BL,Game Master TR,Full Time Employee,Cork,"41,221",EUR,0,new hire,Successful,AAA
8/1/2020 4:29:34,BL,Specialist Gamemaster,Full Time Employee,"Cork, Ireland","37872,06",EUR,2.2,,High,AAA
8/1/2020 6:48:25,BL,"Team Manager, CS",Full Time Employee,Versailles,60078,EUR,3.5,"51,000.00 Euro",High,AAA
8/1/2020 7:19:04,BL,Technical Lead,Full Time Employee,Irvine,"185,000",USD,3,,High,AAA
8/1/2020 10:57:24,BL,,Full Time Employee,Irvine,"147,000",USD,4,,Top,AAA
8/1/2020 11:53:14,BL,Associate Operations Engineer,Full Time Employee,Irvine,101005,USD,1,,Successful,AAA
8/1/2020 12:21:37,BL,Senior Software Engineer II,Full Time Employee,Irvine,170000,USD,2.8,,High,AAA
8/1/2020 12:22:14,BL,Associate Data Engineer,Full Time Employee,Irvine,$43.97/hr,USD,1.2,This pay reflects 1.5 years working at Blizzard,Successful,AAA
8/1/2020 12:42:26,BL,"Team Manager, Customer Service",Full Time Employee,Austin,"58,458",USD,1.3,,Successful,AAA
8/1/2020 13:27:27,BL,Game Master,Full Time Employee,Austin,33987,USD,1,This was the smallest raise I've ever gotten over my 5 years.,Successful,AAA
8/1/2020 15:20:12,BL,Senior Concept Artist II,Full Time Employee,Irvine,"135,596",USD,14,I received a promotion in July as well as salary increase.,Top,AAA
8/1/2020 16:10:55,BL,Associate Software Engineer,Full Time Employee,Irvine,"93,000",USD,2,,Successful,AAA
8/1/2020 16:51:13,BL,Senior QA Tester,Full Time Employee,Irvine,"$62,000",USD,4.5,,High,AAA
8/1/2020 17:34:52,BL,"Associate PM (my range is on the same scale as PM, but not my actual title)",Full Time Employee,Irvine,"$70,000",USD,0,,Successful,AAA
8/1/2020 19:58:11,BL,Senior Designer 1,Full Time Employee,Irvine,124000,USD,13.5,Promotion thus affecting my % salary increase,,AAA
8/1/2020 20:01:45,BL,Software Engineer,Full Time Employee,Irvine,112850,USD,3.5,,High,AAA
8/2/2020 3:31:22,BL,CS Champion,Full Time Employee,Cork,39K EUR,EUR,4,,High,AAA
8/2/2020 4:06:44,BL,Specialist Game Master,Full Time Employee,Cork,36000,EUR,1,"13 year veteran, usually getting 3% or higher raises.",Successful,AAA
8/2/2020 4:39:31,BL,CS Supervisor,Full Time Employee,Versailles,45k €,EUR,1,,Successful,AAA
8/2/2020 8:31:54,BL,Specialist Game Master,Full Time Employee,Austin,"$40,019",USD,1.26,This is the lowest raise I've received in the 7 years I've been working for Blizzard.,Successful,AAA
8/2/2020 13:52:36,BL,Game Master,Full Time Employee,Austin,"34,486",USD,2.5,,Successful,AAA
8/2/2020 21:26:00,BL,Principal Software Engineer,Full Time Employee,Irvine,216856,USD,2.5,,High,AAA
8/2/2020 23:30:32,BL,Senior Software Engineer I,Full Time Employee,Austin,"135,000",USD,2.5,,High,AAA
8/3/2020 3:46:08,BL,"Producer, Creative Production",Full Time Employee,Versailles,37500,EUR,2,Have always had increases in the 2 to 3 percent region even with High performance due to the bell curve system and arbitrary number restrictions on who can get bigger increases. Have entertained options at other companies that have offered up to x2.5 as much in terms of salary in cheaper CoL areas.,Successful,AAA
8/3/2020 4:16:15,BL,Project Manager,Full Time Employee,Versailles,47500,EUR,1,,Successful,AAA
8/3/2020 6:48:49,BL,Team Manager,Full Time Employee,Cork,58000,EUR,3,,High,AAA
